Customer_city,Latitude,Longitude
Las Piñas,14.4445,120.9939
Davao City,7.1907,125.4553
Bacolod,10.684,122.9563
Iloilo City,10.7203,122.562
Cagayan de Oro,8.4822,124.6472
General Santos,6.1128,125.1717
Baguio,16.4023,120.596
Antipolo,14.587,121.1901
Marikina,14.65,121.1
Pasig,14.5764,121.0851
Mandaluyong,14.5825,121.0264
Manila,14.5995,120.9842
Taguig,14.5176,121.0509
San Juan,14.6059,121.0234
Makati,14.55,121.0217
Cavite City,14.4797,120.8333
Cebu City,10.2833,123.8678
Pasay,14.538,120.982
Muntinlupa,14.4081,121.0313
Quezon City,14.6333,121
